service_type,key_question,kloe,ref,checklist_item
Nursing Home,Effective,Assessing needs,EFF-AN-04,Assessments focus on people's strengths and there is a trauma-informed approach to understanding people's needs.
Nursing Home,Effective,Consent to care and treatment,EFF-CT-01,"Staff know the importance of consent and ensure people understand what they are consenting to before care or treatment is delivered, with appropriate information and time given to support informed decisions."
Nursing Home,Effective,Consent to care and treatment,EFF-CT-02,"Staff actively consider whether people have the mental capacity to give consent; where there is reason to doubt capacity, assessments are completed in line with the Mental Capacity Act 2005, recorded, and DoLS applied where appropriate."
Nursing Home,Effective,Consent to care and treatment,EFF-CT-03,"People are supported to access independent advocacy, including statutory or non-statutory when available, and advocates are appropriately involved by the service."
Nursing Home,Effective,Consent to care and treatment,EFF-CT-04,"The service makes lawful decisions in people's best interests when required; people are involved and their feelings, beliefs and values are considered, with those close to them kept informed."
Nursing Home,Effective,Evidence-based care and equitable outcomes,EFF-EB-01,"People's nutritional and hydration needs are met in line with current standards and good practice guidance; dietary risks including poor nutrition, dehydration and swallowing problems are identified and managed."
Nursing Home,Effective,Evidence-based care and equitable outcomes,EFF-EB-02,"Staff monitor and evaluate outcomes related to people's health, including clinical markers, and act to improve them where possible."
Nursing Home,Effective,Evidence-based care and equitable outcomes,EFF-EB-03,"There is a rigorous approach to monitoring the effectiveness of people's care, support and treatment; the service takes action to continuously improve it, evidenced by a clinical audit programme with documented improvements."
Nursing Home,Effective,Evidence-based care and equitable outcomes,EFF-EB-04,"Staff monitor and evaluate outcomes related to people's health and quality of life over time, using outcome data to act and improve care where possible."
Nursing Home,Effective,Evidence-based care and equitable outcomes,EFF-EB-05,The service empowers people to understand their legal rights to equity of care; staff recognise barriers that prevent equity and resources are allocated to reduce these barriers and improve outcomes.
Nursing Home,Effective,Supporting people to live healthier lives,EFF-HL-01,The service works with residents and professionals to plan and enable access to health and social care support; residents are supported to access health checks and healthcare passports are completed where appropriate.
Nursing Home,Effective,Supporting people to live healthier lives,EFF-HL-02,"Risks to residents' health and wellbeing are identified and support to prevent deterioration is prioritised, including progressing advice from other professionals to prevent avoidable hospital admissions."
Nursing Home,Effective,Supporting people to live healthier lives,EFF-HL-03,"Residents are encouraged and supported to make healthier choices relating to diet, lifestyle and physical activity, including through activity and rehabilitation opportunities where clinically appropriate."
Nursing Home,Effective,Supporting people to live healthier lives,EFF-HL-04,The service progresses advice and recommendations from other professionals or commissioners to prevent deterioration in health and wellbeing and avoidable hospital admissions.
Nursing Home,Caring,"Independence, choice and control",CAR-IC-01,"Residents are encouraged and enabled to access meaningful activities, hobbies and interests in a personalised way, with genuine choices offered and adaptations made for clinical or mobility needs."
Nursing Home,Caring,"Independence, choice and control",CAR-IC-02,"People are supported to maintain access to family, friends and cultural connections; when applicable, visiting restrictions are limited to exceptional circumstances in accordance with guidance and legislation."
Nursing Home,Caring,"Independence, choice and control",CAR-IC-03,People are supported to make decisions about end of life preferences and advance decisions if they wish to; DNACPR and ReSPECT decisions are clearly recorded and accessible to clinical staff.
Nursing Home,Caring,"Independence, choice and control",CAR-IC-04,People approaching the end of their life are identified and their needs are met in line with their preferences and choices; there is a compassionate and supportive approach before and after a person dies.
Nursing Home,Caring,"Independence, choice and control",CAR-IC-05,"People are supported to plan for the future and make advance decisions if they wish to; where people do not wish to discuss end of life, steps are taken to establish what to do in an emergency."
Nursing Home,Caring,"Independence, choice and control",CAR-IC-06,"People's right to a personal life is appropriately considered and respected, including supporting them to have close and intimate relationships where they choose."
Nursing Home,Caring,"Independence, choice and control",CAR-IC-07,Equipment and technology are used to support and maximise people's independence; people are helped to make choices about adaptive equipment appropriate to their needs.
Nursing Home,Caring,"Kindness, compassion and dignity",CAR-KD-01,"People feel cared for with kindness, compassion, dignity and respect; privacy and dignity are consistently upheld during all clinical procedures and personal care, and any shortfalls are challenged."
Nursing Home,Caring,"Kindness, compassion and dignity",CAR-KD-02,People's privacy and confidentiality are consistently upheld; staff have a clear understanding of the boundaries of confidentiality and work within these.
Nursing Home,Caring,"Kindness, compassion and dignity",CAR-KD-03,"Staff promptly respond to people's emotions, discomfort, distress and urgent needs in a positive way that protects their rights and dignity; staff learn the causes of distress to prevent recurrence."
Nursing Home,Caring,"Kindness, compassion and dignity",CAR-KD-04,"Staff prioritise and anticipate people's comfort and wellbeing needs, using appropriate tools and communication to avoid preventable discomfort, concern or distress."
Nursing Home,Caring,Person-centred care,CAR-PC-01,Care is tailored to the individual and is not task-focused; nursing care plans are person-centred and regularly updated with the involvement of residents and those close to them.
Nursing Home,Caring,Person-centred care,CAR-PC-02,"Staff treat people as individuals, ensuring their personal, cultural, social, spiritual and religious needs are understood and met, with due regard for protected equality characteristics."
Nursing Home,Caring,Person-centred care,CAR-PC-03,"People receive the most appropriate and personalised care as the service makes reasonable adjustments where necessary, including for communication, accessibility and cultural preferences."
Nursing Home,Responsive,"Care provision, integration and continuity",RES-CC-01,"Where support is provided by more than one service, staff work in a planned, coordinated and flexible way to make sure care is joined up and meets residents' needs."
Nursing Home,Responsive,"Care provision, integration and continuity",RES-CC-02,"People experience continuity of care, support and treatment; a key worker or named nurse system ensures residents have a consistent point of contact throughout their stay."
Nursing Home,Responsive,"Care provision, integration and continuity",RES-CC-03,Internal transitions in care level are planned collaboratively with residents and those close to them; people experience continuity of care and a smooth process throughout.
Nursing Home,Responsive,Equity in experiences,RES-EE-01,"Leaders and staff work collaboratively to achieve equity by recognising barriers, collecting and acting on evidence including people's experiences, and allocating resources to reduce barriers."
Nursing Home,Responsive,Equity in experiences,RES-EE-02,Interpreting and translation are provided or accessed for people who don't speak English as a first language and for people who use British Sign Language.
Nursing Home,Responsive,Equity in experiences,RES-EE-03,"Staff are supported to develop the skills they need to remove barriers to effective communication; where applicable, the requirements of the Accessible Information Standard are met."
Nursing Home,Responsive,Listening to and responding to feedback,RES-LF-01,"People and those close to them understand how to give feedback, make suggestions or complain about care and treatment; they can do so in a way that meets their needs, including with access to independent advocacy."
Nursing Home,Responsive,Listening to and responding to feedback,RES-LF-02,"The service welcomes feedback, concerns and complaints as an opportunity to improve; learning from feedback is incorporated into practice and people feel confident their concerns will be taken seriously."
Nursing Home,Responsive,Listening to and responding to feedback,RES-LF-03,The service actively seeks feedback and keeps people informed about how it has been addressed and any action taken; people are given information on how to escalate complaints to the relevant Ombudsman.
Nursing Home,Responsive,Listening to and responding to feedback,RES-LF-04,"At the end of the complaints process, people are given information on how to escalate their complaint to the relevant Ombudsman."
Nursing Home,Responsive,Listening to and responding to feedback,RES-LF-05,"The service supports people to give their feedback or make a complaint, including supporting access to independent advocacy."
Nursing Home,Responsive,Timely and equitable access,RES-TA-01,The service is designed to be accessible and available at the point of need; barriers that prevent equitable access to the admission process are identified and removed.
Nursing Home,Responsive,Timely and equitable access,RES-TA-02,Reasonable adjustments are understood and made to ensure equal access to the service for all; premises are accessible and adapted to meet the needs of people who find it hard to access services.
Nursing Home,Responsive,Timely and equitable access,RES-TA-03,People's individual communication and information needs are appropriately identified and up-to-date information is routinely provided in an accessible way.
Nursing Home,Well-Led,Capable and compassionate leaders,WEL-CL-01,"Where required, there is a registered manager in post who understands their responsibilities and is supported by directors and other managers to deliver good, effective, high-quality care."
Nursing Home,Well-Led,Capable and compassionate leaders,WEL-CL-02,High-quality leadership is sustained through safe and effective recruitment; Fit and Proper Person Requirement checks are completed for the registered manager and all directors.
Nursing Home,Well-Led,Capable and compassionate leaders,WEL-CL-03,Leaders are knowledgeable about priorities that affect quality and have access to appropriate development in their role; they seek support or independent scrutiny where required.
Nursing Home,Well-Led,Capable and compassionate leaders,WEL-CL-04,"When something goes wrong, people receive a sincere and timely apology and are told about the actions being taken to prevent the same thing happening again."
Nursing Home,Well-Led,Governance and management,WEL-GM-01,"The service has an accurate statement of purpose that clearly reflects current service provision, including the nursing care it provides."
Nursing Home,Well-Led,Governance and management,WEL-GM-02,"There are effective systems for monitoring and managing service performance, risk and learning from incidents, including a quality assurance audit programme across all key care areas."
Nursing Home,Well-Led,Governance and management,WEL-GM-03,"There are secure and reliable arrangements for the availability, integrity and confidentiality of data and records; the Data Security and Protection Toolkit is submitted and cyber security arrangements are reviewed."
Nursing Home,Well-Led,Governance and management,WEL-GM-04,"There are thorough business continuity plans in place for emergencies, and staff know how to put these into practice, including continuity of medicines supply and nurse staffing."
Nursing Home,Well-Led,Governance and management,WEL-GM-05,Data and notifications are consistently submitted to external partners as required; regulatory requirements are understood and consistently met.
Nursing Home,Well-Led,Governance and management,WEL-GM-06,"There are effective workforce planning arrangements to ensure appropriate staffing levels, skill mix and succession; risks to staffing capacity are identified and managed."
Nursing Home,Well-Led,Governance and management,WEL-GM-07,"Records and data management systems meet data protection and GDPR requirements; records are complete, accurate, stored securely and staff understand their data protection responsibilities."
Nursing Home,Well-Led,"Improvement, innovation and learning",WEL-IL-01,"Staff and leaders drive improvement through consistent approaches that enable the right environment for improvement, measuring outcomes and impact; quality improvement projects demonstrate measurable results."
Nursing Home,Well-Led,"Improvement, innovation and learning",WEL-IL-02,Staff are consistently encouraged to contribute to improvement and innovation initiatives; leaders foster a culture of trust by actively investing time to listen to ideas for improvement.
Nursing Home,Well-Led,"Improvement, innovation and learning",WEL-IL-03,"Staff and leaders engage with external work, including research, and embed evidence-based good practice in the service."
Nursing Home,Well-Led,"Improvement, innovation and learning",WEL-IL-04,Leaders encourage collective problem-solving and innovation; staff at all levels are involved in identifying and addressing problems to achieve consistency in the quality of care.
Nursing Home,Well-Led,Partnerships and communities,WEL-PC-01,The service maintains positive relationships with the local community and works well with community partners.
Nursing Home,Well-Led,Partnerships and communities,WEL-PC-02,"Staff and leaders work in partnership with other organisations, including local health services, so that care works as seamlessly as possible for people."
Nursing Home,Well-Led,Partnerships and communities,WEL-PC-03,"Staff and leaders engage with people, communities and partners to share learning with each other, which results in continuous improvements to the service."
Nursing Home,Well-Led,Partnerships and communities,WEL-PC-04,"People who use the service are meaningfully involved in how it is designed, delivered and evaluated, including through co-production with residents and families."
Nursing Home,Well-Led,Strategic direction,WEL-SD-01,"The values of the service are clear, understood and supported by staff, demonstrated through the behaviour of leaders and in day-to-day practices within the service."
Nursing Home,Well-Led,Strategic direction,WEL-SD-02,"Leaders learn from staff who work directly with people; feedback is valued and used to track progress, shape priorities and drive improvements."
Nursing Home,Well-Led,Strategic direction,WEL-SD-03,The strategy supports the stability and operational sustainability of the service; succession planning ensures high-quality leadership is sustained.
Nursing Home,Well-Led,Strategic direction,WEL-SD-04,"The vision, values and strategy have been developed through structured planning and co-production with people who use the service, staff and partners."
Nursing Home,Well-Led,Workforce equity and culture,WEL-WE-01,"The service is committed to workforce equality and proactively works to promote equality, diversity and inclusion, applied to recruitment, development and progression."
Nursing Home,Well-Led,Workforce equity and culture,WEL-WE-02,Staff are actively encouraged to raise concerns through formal speaking up processes and are confident they will be treated with compassion and will not be blamed or treated negatively for doing so.
Nursing Home,Well-Led,Workforce equity and culture,WEL-WE-03,"Staff wellbeing is promoted through personalised support, including reasonable adjustments, flexible working and ensuring adequate rest; there is support when staff are struggling at work."
Nursing Home,Well-Led,Workforce equity and culture,WEL-WE-04,"The service identifies workforce inequalities against equality, diversity and inclusion objectives; interventions to address these are monitored to evaluate their impact."
Nursing Home,Well-Led,Workforce equity and culture,WEL-WE-05,"The service supports staff who face discrimination and takes action against those who discriminate, supported by clear policies and processes."
Residential Care Home,Safe,Safety culture,SAF-SC-01,"All incidents are recorded, investigated and outcomes are communicated to those involved. If harm has occurred, people are given full details of what happened, why, and what has been learned."
Residential Care Home,Safe,Safety culture,SAF-SC-02,"There is a good understanding of the duty of candour. When an incident has happened, staff are open and transparent with people and those close to them."
Residential Care Home,Safe,Safety culture,SAF-SC-03,"There is a strong learning culture in which incidents that have caused harm, or could cause harm, are treated as opportunities to improve."
Residential Care Home,Safe,Safety culture,SAF-SC-04,"Complaints, concerns and other feedback about safety are welcomed and prioritised as key sources used to identify and manage safety risks before safety incidents happen."
Residential Care Home,Safe,Safety culture,SAF-SC-05,"The service looks for safety-related themes and trends. Patient safety alerts are consistently reviewed and acted on, and learning from external safety incidents is embedded in the delivery of care."
Residential Care Home,Safe,Safety culture,SAF-SC-06,"Staff and leaders understand what constitutes a closed culture and the risks to people, including organisational abuse. There are systems and processes in place to identify concerns and prevent closed cultures from developing, and appropriate action is taken when needed."
Residential Care Home,Safe,Managing risks during care and treatment,SAF-MR-01,"People's care plans reflect any foreseeable risks and how they should be managed. Deterioration, emergencies and clinical risks are anticipated where possible and managed to reduce the potential for harm."
Residential Care Home,Safe,Managing risks during care and treatment,SAF-MR-02,People are respected and protected from avoidable harm because care is provided in line with recognised good practice guidance.
Residential Care Home,Safe,Managing risks during care and treatment,SAF-MR-03,"Care, support and treatment are discussed with people so they understand the potential risks and side effects. Where appropriate, people and those close to them are actively involved in managing their own risks."
Residential Care Home,Safe,Managing risks during care and treatment,SAF-MR-04,"The service has a process to ensure that any restrictions on people's freedom, choice and control are necessary, proportionate and safe. This particularly includes where people lack mental capacity."
Residential Care Home,Safe,Managing risks during care and treatment,SAF-MR-05,"Restraint is only ever used as a last resort and there is a clear commitment from all staff to minimising the use of restrictive interventions in the service. If staff use restraint, it is lawful, for a legitimate purpose, safe and necessary, and staff follow good practice."
Residential Care Home,Safe,Safe systems pathways and transitions,SAF-SP-01,"Plans and information for care during transitions are established and shared before people move between services. Plans consider people's individual needs, circumstances, ongoing care arrangements and expected outcomes."
Residential Care Home,Safe,Safe systems pathways and transitions,SAF-SP-02,"Safety and continuity are maintained across people's care journeys through collaborative working with people, staff and partners. This includes where people are moving between or accessing multiple services."
Residential Care Home,Safe,Safe systems pathways and transitions,SAF-SP-03,"Staff work together proactively with teams in other services, commissioners and people using the service to deliver co-ordinated, timely, consistent and person-centred care, support and treatment. Actions are appropriately owned and followed up."
Residential Care Home,Safe,Safe systems pathways and transitions,SAF-SP-04,"When people have needs that are outside of the service's remit, staff adapt support and escalate issues to relevant agencies."
Residential Care Home,Safe,Safe systems pathways and transitions,SAF-SP-05,"The service has appropriate systems and processes to manage its responsibilities in relation to delegated healthcare activities safely, in line with good practice."
Residential Care Home,Safe,Safeguarding,SAF-SG-01,"There are effective safeguarding systems, processes and practices, managed by appropriately trained staff, which protect people from abuse, neglect, harassment and breaches of their dignity. These operate in line with legislation and guidance, are communicated effectively and are accessible to people, staff and visitors to the service."
Residential Care Home,Safe,Safeguarding,SAF-SG-02,"Staff can identify abuse and improper treatment. They recognise early indicators of potential abuse or poor care, even when these do not meet the threshold for formal safeguarding concerns. Staff act quickly and appropriately to protect people, working closely with partners."
Residential Care Home,Safe,Safeguarding,SAF-SG-03,"Information about people who have suffered harm or are at risk of harm is shared appropriately with other agencies, such as the local authority, in a timely way. Staff use appropriate escalation pathways when concerns are not addressed."
Residential Care Home,Safe,Safeguarding,SAF-SG-04,"People are deprived of their liberty lawfully. Any potential deprivation of liberty is recognised promptly and appropriate authorisation is sought. Where applicable, the Deprivation of Liberty Safeguards (DoLS) are used appropriately and only when it is in the best interests of the person."
Residential Care Home,Safe,Safeguarding,SAF-SG-05,"People are supported to understand what safeguarding means and how to raise concerns on behalf of themselves and others, and are encouraged and empowered to do so."
Residential Care Home,Safe,Safe environments and infection prevention and control,SAF-EI-01,Fire safety procedures are effective. Concerns are escalated appropriately where the service is not directly responsible for the premises.
Residential Care Home,Safe,Safe environments and infection prevention and control,SAF-EI-02,"Where the provider is responsible, there is a comprehensive system to proactively manage the safety and upkeep of the premises (including communal and personal spaces) and equipment, and risks are assessed and controlled. Professionally qualified and competent people complete the necessary environmental and equipment checks and maintenance."
Residential Care Home,Safe,Safe environments and infection prevention and control,SAF-EI-03,The service manages the control and prevention of infection well. Infection prevention and control roles are clear. The risk of infection is minimised because premises and equipment are kept clean and hygienic.
Residential Care Home,Safe,Safe environments and infection prevention and control,SAF-EI-04,"The service monitors and acts on equipment alerts, recalls and safety information."
Residential Care Home,Safe,Safe environments and infection prevention and control,SAF-EI-05,"Facilities, equipment (including special or adaptive equipment) and technology that are the responsibility of the service are maintained, stored and used in line with good practice and guidance."
Residential Care Home,Safe,Safe staffing,SAF-SS-01,"There are appropriate staffing levels and skill mix to meet people's needs. Individual needs are taken into consideration so that when people receive one-to-one support, the skills and experience of staff are matched to the person's needs."
Residential Care Home,Safe,Safe staffing,SAF-SS-02,"Thorough and safe recruitment practices ensure staff, including agency staff and volunteers, are suitably experienced, qualified and competent to carry out their roles."
Residential Care Home,Safe,Safe staffing,SAF-SS-03,"Actions are taken to protect staff from fatigue, and leaders understand its impact on the safety of those who use services."
Residential Care Home,Safe,Safe staffing,SAF-SS-04,"There are induction, supervision and appraisal processes to support staff to develop and improve services (including professional revalidation where needed)."
Residential Care Home,Safe,Safe medicines and treatments,SAF-MT-01,"There is a clear approach to the safe use of medicines, and roles and responsibilities are understood."
Residential Care Home,Safe,Safe medicines and treatments,SAF-MT-02,"Controlled drugs are stored, recorded, administered and disposed of in line with legislation and guidance."
Residential Care Home,Safe,Safe medicines and treatments,SAF-MT-03,"Where the service is responsible, medicines are ordered, administered, recorded, stored and disposed of safely in line with legislation and guidance."
Residential Care Home,Safe,Safe medicines and treatments,SAF-MT-04,"The administration of PRN medicines (medicines taken when required) is guided by clear protocols, and there are timely reviews."
Residential Care Home,Safe,Safe medicines and treatments,SAF-MT-05,"People and their representatives are involved in assessments, reviews and decisions, including the level of support needed and self-medication. This is clearly documented in care records."
Residential Care Home,Safe,Safe medicines and treatments,SAF-MT-06,"The service actively considers opportunities to reduce the over-medication of people, in line with STOMP/STAMP principles where applicable."
Residential Care Home,Effective,Assessing needs,EFF-AN-01,"People's needs are comprehensively assessed, and reflect their wishes and physical, mental, emotional, sensory, social and communication needs, including those related to protected equality characteristics."
Residential Care Home,Effective,Assessing needs,EFF-AN-02,"Assessments are regularly reviewed and updated to make sure staff have current information, so that care, support and treatment is meeting people's needs and individual outcomes as expected."
Residential Care Home,Effective,Assessing needs,EFF-AN-03,"People's communication needs are assessed and met to maximise the effectiveness of care, support and treatment."
Residential Care Home,Effective,Assessing needs,EFF-AN-04,"People are involved as much as possible in their needs assessment and their needs are fully identified and understood. Where people need support to be involved, this is provided."
Residential Care Home,Effective,Evidence-based care and equitable outcomes,EFF-EB-01,"People's nutritional and hydration needs are met in line with current standards and good practice guidance. Where applicable, there is positive feedback from dietetic professionals that the service asks for their advice and applies it properly."
Residential Care Home,Effective,Evidence-based care and equitable outcomes,EFF-EB-02,"People are supported to plan and manage their dietary needs and associated risks, including risks of poor nutrition, dehydration, swallowing problems and other medical conditions that affect their health."
Residential Care Home,Effective,Evidence-based care and equitable outcomes,EFF-EB-03,"There is a rigorous approach to monitoring the effectiveness of people's care, support and treatment and the service takes action to continuously improve it."
Residential Care Home,Effective,Evidence-based care and equitable outcomes,EFF-EB-04,"Staff monitor and evaluate outcomes related to people's health and quality of life, including those linked to their aspirations and skill development, and act to improve them when possible."
Residential Care Home,Effective,Evidence-based care and equitable outcomes,EFF-EB-05,"Staff are aware of individual preferences in relation to eating and drinking and there is flexibility when needed or requested. There are good quality food choices and these respect individual wishes, including those relating to sensory, cultural, religious and ethical preferences."
Residential Care Home,Effective,Supporting people to live healthier lives,EFF-HL-01,"The service works with people who use services and professionals to plan and enable access to health and social care support to achieve good health and wellbeing outcomes. This includes facilitating reasonable adjustments, supporting people to access health checks or to complete healthcare passports."
Residential Care Home,Effective,Supporting people to live healthier lives,EFF-HL-02,"Risks to people's health and wellbeing are identified and support to prevent deterioration is prioritised. This includes understanding specific risks for a person due to their needs and specific health conditions, keeping well in hot and cold weather and supporting people to remain as active and mobile as possible."
Residential Care Home,Effective,Supporting people to live healthier lives,EFF-HL-03,"People are encouraged and supported to make healthier choices relating to diet, lifestyle, physical activity, personal and oral hygiene."
Residential Care Home,Effective,Consent to care and treatment,EFF-CT-01,"Staff know the importance of consent and relevant legal requirements. They make sure people understand what they are consenting to before they deliver care, support or treatment. People are given the appropriate information, support and time they need to make an informed decision."
Residential Care Home,Effective,Consent to care and treatment,EFF-CT-02,"There is a clear understanding of the requirements of the Mental Capacity Act 2005 and guidance relating to capacity and consent, and staff demonstrate how they put these into practice effectively. People are supported to understand information, communicate and make decisions about their life, care, support and treatment in line with the Mental Capacity Act 2005, involving their representatives and advocates when needed."
