Key Question,KLOE,Sub-service,Ref,Checklist Item
Safe,Managing risks during care and treatment,Nursing,SAF-MR-05,"There is a balanced and proportionate approach to risk; people's rights and choices are respected and people are supported to take carefully managed risks to live fulfilling lives."
Safe,Managing risks during care and treatment,Residential,SAF-MR-06,"The service has a process to ensure restrictions on people's freedom, choice and control are necessary, proportionate and safe; restraint is only used as a last resort with a clear commitment to minimising restrictive interventions."
Safe,Managing risks during care and treatment,Nursing,SAF-MR-06,"The service has a process to ensure restrictions on people's freedom, choice and control are necessary, proportionate and safe; restraint is only used as a last resort with a clear commitment to minimising restrictive interventions."
Safe,Managing risks during care and treatment,Residential,SAF-MR-07,"Clinical deterioration is anticipated and managed using validated assessment tools, with a clear escalation process to reduce the potential for harm."
Safe,Managing risks during care and treatment,Nursing,SAF-MR-07,"Clinical deterioration is anticipated and managed using validated assessment tools, with a clear escalation process to reduce the potential for harm."
Safe,Safe systems pathways and transitions,Residential,SAF-SP-01,"Plans and information for care during transitions are established and shared before people move between services. Plans consider people's individual needs, circumstances, ongoing care arrangements and expected outcomes."
Safe,Safe systems pathways and transitions,Nursing,SAF-SP-01,"Plans and information for care during transitions are established and shared before people move between services. Plans consider people's individual needs, circumstances, ongoing care arrangements and expected outcomes."
Safe,Safe systems pathways and transitions,Residential,SAF-SP-02,"Safety and continuity are maintained across people's care journeys through collaborative working with people, staff and partners. This includes where people are moving between or accessing multiple services."
Safe,Safe systems pathways and transitions,Nursing,SAF-SP-02,"Safety and continuity are maintained across people's care journeys through collaborative working with people, staff and partners. This includes where people are moving between or accessing multiple services."
Safe,Safe systems pathways and transitions,Residential,SAF-SP-03,"Staff work together proactively with teams in other services, commissioners and people using the service to deliver co-ordinated, timely, consistent and person-centred care, support and treatment. Actions are appropriately owned and followed up."
Safe,Safe systems pathways and transitions,Nursing,SAF-SP-03,"Staff work together proactively with teams in other services, commissioners and people using the service to deliver co-ordinated, timely, consistent and person-centred care, support and treatment. Actions are appropriately owned and followed up."
Safe,Safe systems pathways and transitions,Residential,SAF-SP-04,"When people have needs that are outside of the service's remit, staff adapt support and escalate issues to relevant agencies."
Safe,Safe systems pathways and transitions,Nursing,SAF-SP-04,"When people have needs that are outside of the service's remit, staff adapt support and escalate issues to relevant agencies."
Safe,Safe systems pathways and transitions,Joint,SAF-SP-05,"A clear, documented process exists for transferring a resident between the residential and nursing parts of the service, including whether a new pre-admission assessment is triggered."
Safe,Safe systems pathways and transitions,Joint,SAF-SP-06,"Each resident's current regulated activity (residential or nursing) is clearly and unambiguously recorded, so the correct staffing competency and evidence standards apply to their care."
Safe,Safeguarding,Residential,SAF-SG-01,"There are effective safeguarding systems, processes and practices, managed by appropriately trained staff, which protect people from abuse, neglect, harassment and breaches of their dignity. These operate in line with legislation and guidance, are communicated effectively and are accessible to people, staff and visitors to the service."
Safe,Safeguarding,Nursing,SAF-SG-01,"There are effective safeguarding systems, processes and practices, managed by appropriately trained staff, which protect people from abuse, neglect, harassment and breaches of their dignity. These operate in line with legislation and guidance, are communicated effectively and are accessible to people, staff and visitors to the service."
Safe,Safeguarding,Residential,SAF-SG-02,"Staff can identify abuse and improper treatment. They recognise early indicators of potential abuse or poor care, even when these do not meet the threshold for formal safeguarding concerns. Staff act quickly and appropriately to protect people, working closely with partners."
Safe,Safeguarding,Nursing,SAF-SG-02,"Staff can identify abuse and improper treatment. They recognise early indicators of potential abuse or poor care, even when these do not meet the threshold for formal safeguarding concerns. Staff act quickly and appropriately to protect people, working closely with partners."
Safe,Safeguarding,Residential,SAF-SG-03,"Information about people who have suffered harm or are at risk of harm is shared appropriately with other agencies, such as the local authority, in a timely way. Staff use appropriate escalation pathways when concerns are not addressed."
Safe,Safeguarding,Nursing,SAF-SG-03,"Information about people who have suffered harm or are at risk of harm is shared appropriately with other agencies, such as the local authority, in a timely way. Staff use appropriate escalation pathways when concerns are not addressed."
Safe,Safeguarding,Residential,SAF-SG-04,"People are deprived of their liberty lawfully; any potential deprivation of liberty is recognised promptly and appropriate DoLS authorisation is sought; conditions are regularly reviewed and met."
Safe,Safeguarding,Nursing,SAF-SG-04,"People are deprived of their liberty lawfully; any potential deprivation of liberty is recognised promptly and appropriate DoLS authorisation is sought; conditions are regularly reviewed and met."
Safe,Safeguarding,Residential,SAF-SG-05,"People are empowered to develop and maintain safe intimate relationships, where they choose to, in accordance with their rights; staff are trained to support this appropriately."
Safe,Safeguarding,Nursing,SAF-SG-05,"People are empowered to develop and maintain safe intimate relationships, where they choose to, in accordance with their rights; staff are trained to support this appropriately."
Safe,Safeguarding,Residential,SAF-SG-06,"Online safety is considered and people are supported to understand how they can protect themselves when using the internet or digital devices."
Safe,Safeguarding,Nursing,SAF-SG-06,"Online safety is considered and people are supported to understand how they can protect themselves when using the internet or digital devices."
Safe,Safe environments and infection prevention and control,Residential,SAF-EI-01,"Fire safety procedures are effective. Concerns are escalated appropriately where the service is not directly responsible for the premises."
Safe,Safe environments and infection prevention and control,Nursing,SAF-EI-01,"Fire safety procedures are effective. Concerns are escalated appropriately where the service is not directly responsible for the premises."
Safe,Safe environments and infection prevention and control,Residential,SAF-EI-02,"Where the provider is responsible, there is a comprehensive system to proactively manage the safety and upkeep of the premises (including communal and personal spaces) and equipment, and risks are assessed and controlled. Professionally qualified and competent people complete the necessary environmental and equipment checks and maintenance."
Safe,Safe environments and infection prevention and control,Nursing,SAF-EI-02,"Where the provider is responsible, there is a comprehensive system to proactively manage the safety and upkeep of the premises (including communal and personal spaces) and equipment, and risks are assessed and controlled. Professionally qualified and competent people complete the necessary environmental and equipment checks and maintenance."
Safe,Safe environments and infection prevention and control,Residential,SAF-EI-03,"The service manages the control and prevention of infection well. Infection prevention and control roles are clear. The risk of infection is minimised because premises and equipment are kept clean and hygienic."
Safe,Safe environments and infection prevention and control,Nursing,SAF-EI-03,"The service manages the control and prevention of infection well. Infection prevention and control roles are clear. The risk of infection is minimised because premises and equipment are kept clean and hygienic."
Safe,Safe environments and infection prevention and control,Residential,SAF-EI-04,The service monitors and acts on equipment alerts and safety information.
Safe,Safe environments and infection prevention and control,Nursing,SAF-EI-04,The service monitors and acts on equipment alerts and safety information.
Safe,Safe environments and infection prevention and control,Residential,SAF-EI-05,"Facilities, equipment (including special or adaptive equipment) and technology that are the responsibility of the service are maintained, stored and used in line with good practice and guidance."
Safe,Safe environments and infection prevention and control,Nursing,SAF-EI-05,"Facilities, equipment (including special or adaptive equipment) and technology that are the responsibility of the service are maintained, stored and used in line with good practice and guidance."
Safe,Safe environments and infection prevention and control,Residential,SAF-EI-06,The service monitors and acts on equipment alerts and recalls and safety information in a timely way.
Safe,Safe environments and infection prevention and control,Nursing,SAF-EI-06,The service monitors and acts on equipment alerts and recalls and safety information in a timely way.
Safe,Safe environments and infection prevention and control,Joint,SAF-EI-07,"Fire risk assessment and evacuation plan explicitly account for mixed acuity and mobility across both the residential and nursing parts of the building."
Safe,Safe staffing,Residential,SAF-SS-01,"There are appropriate staffing levels and skill mix to meet people's needs. Individual needs are taken into consideration so that when people receive one-to-one support, the skills and experience of staff are matched to the person's needs."
Safe,Safe staffing,Nursing,SAF-SS-01,"There are appropriate staffing levels and skill mix to meet people's needs. Individual needs are taken into consideration so that when people receive one-to-one support, the skills and experience of staff are matched to the person's needs."
Safe,Safe staffing,Residential,SAF-SS-02,"Thorough and safe recruitment practices ensure staff, including agency staff and volunteers, are suitably experienced, qualified and competent to carry out their roles."
Safe,Safe staffing,Nursing,SAF-SS-02,"Thorough and safe recruitment practices ensure staff, including agency staff and volunteers, are suitably experienced, qualified and competent to carry out their roles."
Safe,Safe staffing,Residential,SAF-SS-03,"Actions are taken to protect staff from fatigue, and leaders understand its impact on the safety of those who use services."
Safe,Safe staffing,Nursing,SAF-SS-03,"Actions are taken to protect staff from fatigue, and leaders understand its impact on the safety of those who use services."
Safe,Safe staffing,Residential,SAF-SS-04,"There are induction, supervision and appraisal processes to support staff to develop and improve services (including professional revalidation where needed)."
Safe,Safe staffing,Nursing,SAF-SS-04,"There are induction, supervision and appraisal processes to support staff to develop and improve services (including professional revalidation where needed)."
Safe,Safe staffing,Residential,SAF-SS-05,"Actions are taken to protect staff from fatigue and leaders understand its impact on the safety of people who use services; working patterns are monitored."
Safe,Safe staffing,Nursing,SAF-SS-05,"Actions are taken to protect staff from fatigue and leaders understand its impact on the safety of people who use services; working patterns are monitored."
Safe,Safe staffing,Joint,SAF-SS-06,"Staff are not cross-deployed between residential and nursing duties beyond their competency, training and registration."
Safe,Safe medicines and treatments,Residential,SAF-MT-01,"There is a clear approach to the safe use of medicines, and roles and responsibilities are understood."
Safe,Safe medicines and treatments,Nursing,SAF-MT-01,"There is a clear approach to the safe use of medicines, and roles and responsibilities are understood."
Safe,Safe medicines and treatments,Residential,SAF-MT-02,"Controlled drugs are stored, recorded, administered and disposed of in line with legislation and guidance."
Safe,Safe medicines and treatments,Nursing,SAF-MT-02,"Controlled drugs are stored, recorded, administered and disposed of in line with legislation and guidance."
Safe,Safe medicines and treatments,Residential,SAF-MT-03,"Where the service is responsible, medicines are ordered, administered, recorded, stored and disposed of safely in line with legislation and guidance."
Safe,Safe medicines and treatments,Nursing,SAF-MT-03,"Where the service is responsible, medicines are ordered, administered, recorded, stored and disposed of safely in line with legislation and guidance."
Safe,Safe medicines and treatments,Residential,SAF-MT-04,"The administration of PRN medicines (medicines taken when required) is guided by clear protocols, and there are timely reviews."
Safe,Safe medicines and treatments,Nursing,SAF-MT-04,"The administration of PRN medicines (medicines taken when required) is guided by clear protocols, and there are timely reviews."
Safe,Safe medicines and treatments,Residential,SAF-MT-05,"The service actively considers opportunities to reduce the over-medication of people, in line with STOMP/STAMP principles where applicable."
Safe,Safe medicines and treatments,Nursing,SAF-MT-05,"The service actively considers opportunities to reduce the over-medication of people, in line with STOMP/STAMP principles where applicable."
Safe,Safe medicines and treatments,Residential,SAF-MT-06,"The administration of PRN medicines (medicines taken when required) is guided by clear protocols; protocols are reviewed in a timely way."
Safe,Safe medicines and treatments,Nursing,SAF-MT-06,"The administration of PRN medicines (medicines taken when required) is guided by clear protocols; protocols are reviewed in a timely way."
Safe,Safe medicines and treatments,Residential,SAF-MT-07,"People's capacity and preference for self-medication is assessed and clearly documented in care records; involvement in decisions about medicines is supported."
Safe,Safe medicines and treatments,Nursing,SAF-MT-07,"People's capacity and preference for self-medication is assessed and clearly documented in care records; involvement in decisions about medicines is supported."
Safe,Safe medicines and treatments,Residential,SAF-MT-08,"Where covert administration of medicines is used, this is supported in line with the Mental Capacity Act 2005 and clearly documented with a best interests decision."
Safe,Safe medicines and treatments,Nursing,SAF-MT-08,"Where covert administration of medicines is used, this is supported in line with the Mental Capacity Act 2005 and clearly documented with a best interests decision."
Effective,Assessing needs,Residential,EFF-AN-01,"People's needs are comprehensively assessed, and reflect their wishes and physical, mental, emotional, sensory, social and communication needs, including those related to protected equality characteristics."
Effective,Assessing needs,Nursing,EFF-AN-01,"People's needs are comprehensively assessed, and reflect their wishes and physical, mental, emotional, sensory, social and communication needs, including those related to protected equality characteristics."
Effective,Assessing needs,Residential,EFF-AN-02,"Assessments are regularly reviewed and updated to make sure staff have current information, so that care, support and treatment is meeting people's needs and individual outcomes as expected."
Effective,Assessing needs,Nursing,EFF-AN-02,"Assessments are regularly reviewed and updated to make sure staff have current information, so that care, support and treatment is meeting people's needs and individual outcomes as expected."
Effective,Assessing needs,Residential,EFF-AN-03,"People's communication needs are assessed and met to maximise the effectiveness of care, support and treatment."
Effective,Assessing needs,Nursing,EFF-AN-03,"People's communication needs are assessed and met to maximise the effectiveness of care, support and treatment."
Effective,Assessing needs,Residential,EFF-AN-04,"Assessments focus on people's strengths and there is a trauma-informed approach to understanding people's needs."
Effective,Assessing needs,Nursing,EFF-AN-04,"Assessments focus on people's strengths and there is a trauma-informed approach to understanding people's needs."
Effective,Evidence-based care and equitable outcomes,Residential,EFF-EB-01,"People's nutritional and hydration needs are met in line with current standards and good practice guidance. Where applicable, there is positive feedback from dietetic professionals that the service asks for their advice and applies it properly."
Effective,Evidence-based care and equitable outcomes,Nursing,EFF-EB-01,"People's nutritional and hydration needs are met in line with current standards and good practice guidance. Where applicable, there is positive feedback from dietetic professionals that the service asks for their advice and applies it properly."
Effective,Evidence-based care and equitable outcomes,Residential,EFF-EB-02,"People are supported to plan and manage their dietary needs and associated risks, including risks of poor nutrition, dehydration, swallowing problems and other medical conditions that affect their health."
Effective,Evidence-based care and equitable outcomes,Nursing,EFF-EB-02,"People are supported to plan and manage their dietary needs and associated risks, including risks of poor nutrition, dehydration, swallowing problems and other medical conditions that affect their health."
Effective,Evidence-based care and equitable outcomes,Residential,EFF-EB-03,"There is a rigorous approach to monitoring the effectiveness of people's care, support and treatment and the service takes action to continuously improve it."
Effective,Evidence-based care and equitable outcomes,Nursing,EFF-EB-03,"There is a rigorous approach to monitoring the effectiveness of people's care, support and treatment and the service takes action to continuously improve it."
Effective,Evidence-based care and equitable outcomes,Residential,EFF-EB-04,"Staff monitor and evaluate outcomes related to people's health and quality of life, including those linked to their aspirations and skill development, and act to improve them when possible."
Effective,Evidence-based care and equitable outcomes,Nursing,EFF-EB-04,"Staff monitor and evaluate outcomes related to people's health and quality of life, including those linked to their aspirations and skill development, and act to improve them when possible."
Effective,Evidence-based care and equitable outcomes,Residential,EFF-EB-05,"The service empowers people to understand their legal rights to equity of care; staff recognise barriers that prevent equity and resources are allocated to reduce these barriers and improve outcomes."
Effective,Evidence-based care and equitable outcomes,Nursing,EFF-EB-05,"The service empowers people to understand their legal rights to equity of care; staff recognise barriers that prevent equity and resources are allocated to reduce these barriers and improve outcomes."
Effective,Supporting people to live healthier lives,Residential,EFF-HL-01,"The service works with people who use services and professionals to plan and enable access to health and social care support to achieve good health and wellbeing outcomes. This includes facilitating reasonable adjustments, supporting people to access health checks or to complete healthcare passports."
Effective,Supporting people to live healthier lives,Nursing,EFF-HL-01,"The service works with people who use services and professionals to plan and enable access to health and social care support to achieve good health and wellbeing outcomes. This includes facilitating reasonable adjustments, supporting people to access health checks or to complete healthcare passports."
Effective,Supporting people to live healthier lives,Residential,EFF-HL-02,"Risks to people's health and wellbeing are identified and support to prevent deterioration is prioritised. This includes understanding specific risks for a person due to their needs and specific health conditions, keeping well in hot and cold weather and supporting people to remain as active and mobile as possible."
Effective,Supporting people to live healthier lives,Nursing,EFF-HL-02,"Risks to people's health and wellbeing are identified and support to prevent deterioration is prioritised. This includes understanding specific risks for a person due to their needs and specific health conditions, keeping well in hot and cold weather and supporting people to remain as active and mobile as possible."
Effective,Supporting people to live healthier lives,Residential,EFF-HL-03,"People are encouraged and supported to make healthier choices relating to diet, lifestyle, physical activity, personal and oral hygiene."
Effective,Supporting people to live healthier lives,Nursing,EFF-HL-03,"People are encouraged and supported to make healthier choices relating to diet, lifestyle, physical activity, personal and oral hygiene."
Effective,Supporting people to live healthier lives,Residential,EFF-HL-04,"The service progresses advice and recommendations from other professionals or commissioners to prevent deterioration in health and wellbeing and avoidable hospital admissions."
Effective,Supporting people to live healthier lives,Nursing,EFF-HL-04,"The service progresses advice and recommendations from other professionals or commissioners to prevent deterioration in health and wellbeing and avoidable hospital admissions."
Effective,Consent to care and treatment,Residential,EFF-CT-01,"Staff know the importance of consent and relevant legal requirements. They make sure people understand what they are consenting to before they deliver care, support or treatment. People are given the appropriate information, support and time they need to make an informed decision."
Effective,Consent to care and treatment,Nursing,EFF-CT-01,"Staff know the importance of consent and relevant legal requirements. They make sure people understand what they are consenting to before they deliver care, support or treatment. People are given the appropriate information, support and time they need to make an informed decision."
Effective,Consent to care and treatment,Residential,EFF-CT-02,"There is a clear understanding of the requirements of the Mental Capacity Act 2005 and guidance relating to capacity and consent, and staff demonstrate how they put these into practice effectively. People are supported to understand information, communicate and make decisions about their life, care, support and treatment in line with the Mental Capacity Act 2005, involving their representatives and advocates when needed."
Effective,Consent to care and treatment,Nursing,EFF-CT-02,"There is a clear understanding of the requirements of the Mental Capacity Act 2005 and guidance relating to capacity and consent, and staff demonstrate how they put these into practice effectively. People are supported to understand information, communicate and make decisions about their life, care, support and treatment in line with the Mental Capacity Act 2005, involving their representatives and advocates when needed."
Effective,Consent to care and treatment,Residential,EFF-CT-03,"People are supported to access independent advocacy, including statutory or non-statutory when available, and advocates are appropriately involved by the service."
Effective,Consent to care and treatment,Nursing,EFF-CT-03,"People are supported to access independent advocacy, including statutory or non-statutory when available, and advocates are appropriately involved by the service."
Effective,Consent to care and treatment,Residential,EFF-CT-04,"The service makes lawful decisions in people's best interests when required; people are involved and their feelings, beliefs and values are considered, with those close to them kept informed."
Effective,Consent to care and treatment,Nursing,EFF-CT-04,"The service makes lawful decisions in people's best interests when required; people are involved and their feelings, beliefs and values are considered, with those close to them kept informed."
Caring,Kindness compassion and dignity,Residential,CAR-KD-01,"There is a culture of kindness and respect across teams. People feel cared for with kindness, compassion, dignity and respect."
Caring,Kindness compassion and dignity,Nursing,CAR-KD-01,"There is a culture of kindness and respect across teams. People feel cared for with kindness, compassion, dignity and respect."
Caring,Kindness compassion and dignity,Residential,CAR-KD-02,"People's privacy, confidentiality, and respect are consistently upheld. Staff are discreet and challenge behaviour and practices that fall short of this. Staff have a clear understanding of the boundaries of confidentiality and work within these."
Caring,Kindness compassion and dignity,Nursing,CAR-KD-02,"People's privacy, confidentiality, and respect are consistently upheld. Staff are discreet and challenge behaviour and practices that fall short of this. Staff have a clear understanding of the boundaries of confidentiality and work within these."
Caring,Kindness compassion and dignity,Residential,CAR-KD-03,"Staff genuinely care about people's wellbeing and show it in a thoughtful, meaningful way. They promptly respond to people's emotions, discomfort, distress, or urgent needs in a positive way."
Caring,Kindness compassion and dignity,Nursing,CAR-KD-03,"Staff genuinely care about people's wellbeing and show it in a thoughtful, meaningful way. They promptly respond to people's emotions, discomfort, distress, or urgent needs in a positive way."
Caring,Kindness compassion and dignity,Residential,CAR-KD-04,"Staff prioritise and anticipate people's comfort and wellbeing needs, using appropriate tools and communication to avoid preventable discomfort, concern or distress."
Caring,Kindness compassion and dignity,Nursing,CAR-KD-04,"Staff prioritise and anticipate people's comfort and wellbeing needs, using appropriate tools and communication to avoid preventable discomfort, concern or distress."
Caring,Person-centred care,Residential,CAR-PC-01,"People are at the centre of how their care, support and treatment is delivered. Care is tailored to the individual and is not task-focused."
Caring,Person-centred care,Nursing,CAR-PC-01,"People are at the centre of how their care, support and treatment is delivered. Care is tailored to the individual and is not task-focused."
Caring,Person-centred care,Residential,CAR-PC-02,"Staff treat people as individuals, considering any relevant protected equality characteristics and ensuring their personal, cultural, social, spiritual and religious needs are understood and met."
Caring,Person-centred care,Nursing,CAR-PC-02,"Staff treat people as individuals, considering any relevant protected equality characteristics and ensuring their personal, cultural, social, spiritual and religious needs are understood and met."
Caring,Person-centred care,Residential,CAR-PC-03,"People receive the most appropriate and personalised care as the service makes reasonable adjustments where necessary, including for communication, accessibility and cultural preferences."
Caring,Person-centred care,Nursing,CAR-PC-03,"People receive the most appropriate and personalised care as the service makes reasonable adjustments where necessary, including for communication, accessibility and cultural preferences."
Caring,Independence choice and control,Residential,CAR-IC-01,"If people wish to, they are encouraged and enabled to access meaningful activities, hobbies and interests in a personalised way. People are offered meaningful and genuine choices."
Caring,Independence choice and control,Nursing,CAR-IC-01,"If people wish to, they are encouraged and enabled to access meaningful activities, hobbies and interests in a personalised way. People are offered meaningful and genuine choices."
Caring,Independence choice and control,Residential,CAR-IC-02,"People are supported to establish and maintain relationships and networks that are important to them, with access to family, friends, cultural connections, and advocacy support while using the service. When applicable, visiting restrictions are limited to exceptional circumstances in accordance with guidance and legislation."
Caring,Independence choice and control,Nursing,CAR-IC-02,"People are supported to establish and maintain relationships and networks that are important to them, with access to family, friends, cultural connections, and advocacy support while using the service. When applicable, visiting restrictions are limited to exceptional circumstances in accordance with guidance and legislation."
Caring,Independence choice and control,Residential,CAR-IC-03,"People are supported to make decisions about end of life preferences and advance decisions if they wish to. People who may be approaching the end of their life are identified to ensure their needs are met, in line with their preferences and choices, and the right support is provided."
Caring,Independence choice and control,Nursing,CAR-IC-03,"People are supported to make decisions about end of life preferences and advance decisions if they wish to. People who may be approaching the end of their life are identified to ensure their needs are met, in line with their preferences and choices, and the right support is provided."
Caring,Independence choice and control,Residential,CAR-IC-04,"There is a compassionate and supportive approach towards those close to the person, or staff, before and after a person dies."
Caring,Independence choice and control,Nursing,CAR-IC-04,"There is a compassionate and supportive approach towards those close to the person, or staff, before and after a person dies."
Caring,Independence choice and control,Residential,CAR-IC-05,"People are supported to plan for important life changes, including those relating to potential medical and psychological needs. They can have enough time and accessible information to make informed decisions about their future."
Caring,Independence choice and control,Nursing,CAR-IC-05,"People are supported to plan for important life changes, including those relating to potential medical and psychological needs. They can have enough time and accessible information to make informed decisions about their future."
Caring,Independence choice and control,Residential,CAR-IC-06,"People's right to a personal life is appropriately considered and respected, including supporting them to have close and intimate relationships where they choose."
Caring,Independence choice and control,Nursing,CAR-IC-06,"People's right to a personal life is appropriately considered and respected, including supporting them to have close and intimate relationships where they choose."
Caring,Independence choice and control,Residential,CAR-IC-07,"Equipment and technology are used to support and maximise people's independence; people are helped to make choices about adaptive equipment appropriate to their needs."
Caring,Independence choice and control,Nursing,CAR-IC-07,"Equipment and technology are used to support and maximise people's independence; people are helped to make choices about adaptive equipment appropriate to their needs."
Responsive,Care provision integration and continuity,Residential,RES-CC-01,"The service understands the diverse needs of the people who use it and tailors their support accordingly. This includes recognising and responding to the needs of people with protected equality characteristics and those most at risk of experiencing poorer care or facing barriers to accessing care."
Responsive,Care provision integration and continuity,Nursing,RES-CC-01,"The service understands the diverse needs of the people who use it and tailors their support accordingly. This includes recognising and responding to the needs of people with protected equality characteristics and those most at risk of experiencing poorer care or facing barriers to accessing care."
Responsive,Care provision integration and continuity,Residential,RES-CC-02,"The service works collaboratively and flexibly with others. People experience continuity of care, support and treatment; this includes working with commissioners to manage continuity of care."
Responsive,Care provision integration and continuity,Nursing,RES-CC-02,"The service works collaboratively and flexibly with others. People experience continuity of care, support and treatment; this includes working with commissioners to manage continuity of care."
Responsive,Care provision integration and continuity,Residential,RES-CC-03,"Where support is provided by more than one service, or by unpaid carers, staff work in a planned, coordinated and flexible way to make sure care is joined up and meets people's needs."
Responsive,Care provision integration and continuity,Nursing,RES-CC-03,"Where support is provided by more than one service, or by unpaid carers, staff work in a planned, coordinated and flexible way to make sure care is joined up and meets people's needs."
Responsive,Care provision integration and continuity,Joint,RES-CC-04,"Residents and families are given clear information about which regulated activity (residential or nursing) currently applies to their care, and what would change if this changes."
Responsive,Listening to and responding to feedback,Residential,RES-LF-01,"People and those close to them understand how to give feedback, make suggestions or complain about care, support and treatment. They can do this in a way that meets their needs."
Responsive,Listening to and responding to feedback,Nursing,RES-LF-01,"People and those close to them understand how to give feedback, make suggestions or complain about care, support and treatment. They can do this in a way that meets their needs."
Responsive,Listening to and responding to feedback,Residential,RES-LF-02,"The staff and service welcome feedback, concerns or complaints as an opportunity to improve the service and the quality of care people receive. Learning from feedback, concerns or complaints is incorporated into practice."
Responsive,Listening to and responding to feedback,Nursing,RES-LF-02,"The staff and service welcome feedback, concerns or complaints as an opportunity to improve the service and the quality of care people receive. Learning from feedback, concerns or complaints is incorporated into practice."
Responsive,Listening to and responding to feedback,Residential,RES-LF-03,"The service keeps people informed about how their feedback has been addressed and any action taken including a full explanation when it has not been acted on. It does this in line with established processes, and people are given information on how to escalate their complaints to the relevant Ombudsman at the end of its complaint process."
Responsive,Listening to and responding to feedback,Nursing,RES-LF-03,"The service keeps people informed about how their feedback has been addressed and any action taken including a full explanation when it has not been acted on. It does this in line with established processes, and people are given information on how to escalate their complaints to the relevant Ombudsman at the end of its complaint process."
Responsive,Listening to and responding to feedback,Residential,RES-LF-04,"At the end of the complaints process, people are given information on how to escalate their complaint to the relevant Ombudsman."
Responsive,Listening to and responding to feedback,Nursing,RES-LF-04,"At the end of the complaints process, people are given information on how to escalate their complaint to the relevant Ombudsman."
Responsive,Listening to and responding to feedback,Residential,RES-LF-05,"The service supports people to give their feedback or make a complaint, including supporting access to independent advocacy."
Responsive,Listening to and responding to feedback,Nursing,RES-LF-05,"The service supports people to give their feedback or make a complaint, including supporting access to independent advocacy."
Responsive,Timely and equitable access,Residential,RES-TA-01,"People can access care, support and treatment, including physically, when they need it and in a way that works for them, which promotes equality, removes barriers or delays and protects their rights."
