Key Question,KLOE,Ref,Checklist Item
Safe,Safe medicines and treatments,SAF-MT-02,"Controlled drugs are stored, recorded, administered and disposed of in line with legislation and guidance, with dual sign-off on all controlled drug transactions."
Safe,Safe medicines and treatments,SAF-MT-03,"There is a clear approach to the safe use of medicines; roles and responsibilities for advanced administration, including syringe drivers and IV medicines, are understood and staff hold current competency."
Safe,Safe medicines and treatments,SAF-MT-04,"Medicines are stored safely in line with legislation and guidance, including temperature-controlled storage; storage checks are completed and recorded regularly."
Safe,Safe medicines and treatments,SAF-MT-05,"The service actively considers opportunities to reduce the over-medication of people, in line with STOMP/STAMP principles where applicable."
Safe,Safe medicines and treatments,SAF-MT-06,The administration of PRN medicines (medicines taken when required) is guided by clear protocols; protocols are reviewed in a timely way.
Safe,Safe medicines and treatments,SAF-MT-07,People's capacity and preference for self-medication is assessed and clearly documented in care records; involvement in decisions about medicines is supported.
Safe,Safe medicines and treatments,SAF-MT-08,"Where covert administration of medicines is used, this is supported in line with the Mental Capacity Act 2005 and clearly documented with a best interests decision."
Safe,Safety culture,SAF-SC-01,"All incidents are recorded, investigated, and the service looks for safety-related themes and trends to drive improvement."
Safe,Safety culture,SAF-SC-02,There is a good understanding of the duty of candour; staff are open and transparent with people and those close to them when incidents occur.
Safe,Safety culture,SAF-SC-03,"Patient safety alerts are consistently reviewed and acted on, and learning from external safety incidents is embedded in the delivery of care."
Safe,Safety culture,SAF-SC-04,"Complaints, concerns and other feedback about safety are welcomed and prioritised as key sources to identify and manage safety risks."
Safe,Safety culture,SAF-SC-05,"There is a strong learning culture in which incidents that have caused harm, or could cause harm, are treated as opportunities to improve."
Safe,Safety culture,SAF-SC-06,"Staff and leaders understand what constitutes a closed culture and the risks to people, including organisational abuse; systems are in place to identify concerns and prevent closed cultures from developing."
Safe,Safeguarding,SAF-SG-01,"There are effective safeguarding systems, processes and practices, accessible to people, staff and visitors to the service, operating in line with legislation and guidance."
Safe,Safeguarding,SAF-SG-02,"Safeguarding systems are managed by appropriately trained staff; training is appropriate to role, refreshed at regular intervals, with competency assessed."
Safe,Safeguarding,SAF-SG-03,Information about people who have suffered harm or are at risk is shared with the local authority in a timely way; staff use appropriate escalation pathways when concerns are not addressed.
Safe,Safeguarding,SAF-SG-04,People are deprived of their liberty lawfully; any potential deprivation of liberty is recognised promptly and appropriate DoLS authorisation is sought; conditions are regularly reviewed and met.
Safe,Safeguarding,SAF-SG-05,"People are empowered to develop and maintain safe intimate relationships, where they choose to, in accordance with their rights; staff are trained to support this appropriately."
Safe,Safeguarding,SAF-SG-06,Online safety is considered and people are supported to understand how they can protect themselves when using the internet or digital devices.
Safe,"Safe systems, pathways and transitions",SAF-SP-01,"Plans and information for care are established and shared before people move into the service, considering individual needs, circumstances and expected outcomes."
Safe,"Safe systems, pathways and transitions",SAF-SP-02,Plans and information for care during transitions are established and shared before people move between services to ensure continuity and a smooth process.
Safe,"Safe systems, pathways and transitions",SAF-SP-03,"Staff work proactively with teams in other services to deliver co-ordinated, timely and person-centred care; actions are appropriately owned and followed up."
Safe,"Safe systems, pathways and transitions",SAF-SP-04,"Shared systems and processes for safe care, including handover, are managed collaboratively, with proactive risk identification, monitoring and learning."
Safe,Safe staffing,SAF-SS-01,"There are appropriate staffing levels and skill mix, including registered nurse cover on every shift, to meet people's needs; contingency arrangements are in place for staff absence."
Safe,Safe staffing,SAF-SS-02,There are processes to support professional revalidation where needed; NMC registration and revalidation dates are verified and tracked for all registered nurses.
Safe,Safe staffing,SAF-SS-03,"Thorough and safe recruitment practices are in place, including DBS checks and references, ensuring staff and volunteers are suitably experienced, qualified and competent."
Safe,Safe staffing,SAF-SS-04,There are supervision and appraisal processes to support nursing staff to develop and improve services; competency is assessed to maintain knowledge and skills in line with good practice.
Safe,Safe staffing,SAF-SS-05,Actions are taken to protect staff from fatigue and leaders understand its impact on the safety of people who use services; working patterns are monitored.
Safe,Safe staffing,SAF-SS-06,The service has systems for investigating allegations against people in positions of trust; actions are taken to address any risk to people using the service.
Effective,Assessing needs,EFF-AN-01,"People's needs are comprehensively assessed, reflecting their wishes and physical, mental, emotional, sensory, social and communication needs, including those related to protected equality characteristics."
Effective,Assessing needs,EFF-AN-02,"Assessments and care plans are regularly reviewed and updated to make sure staff have current information, so that care is meeting people's needs and individual outcomes as expected."
Effective,Assessing needs,EFF-AN-03,"People's communication needs are assessed and met to maximise the effectiveness of care, support and treatment, in line with the Accessible Information Standard."
Effective,Assessing needs,EFF-AN-04,Assessments focus on people's strengths and there is a trauma-informed approach to understanding people's needs.
Effective,Consent to care and treatment,EFF-CT-01,"Staff know the importance of consent and ensure people understand what they are consenting to before care or treatment is delivered, with appropriate information and time given to support informed decisions."
Effective,Consent to care and treatment,EFF-CT-02,"Staff actively consider whether people have the mental capacity to give consent; where there is reason to doubt capacity, assessments are completed in line with the Mental Capacity Act 2005, recorded, and DoLS applied where appropriate."
Effective,Consent to care and treatment,EFF-CT-03,"People are supported to access independent advocacy, including statutory or non-statutory when available, and advocates are appropriately involved by the service."
Effective,Consent to care and treatment,EFF-CT-04,"The service makes lawful decisions in people's best interests when required; people are involved and their feelings, beliefs and values are considered, with those close to them kept informed."
Effective,Evidence-based care and equitable outcomes,EFF-EB-01,"People's nutritional and hydration needs are met in line with current standards and good practice guidance; dietary risks including poor nutrition, dehydration and swallowing problems are identified and managed."
Effective,Evidence-based care and equitable outcomes,EFF-EB-02,"Staff monitor and evaluate outcomes related to people's health, including clinical markers, and act to improve them where possible."
Effective,Evidence-based care and equitable outcomes,EFF-EB-03,"There is a rigorous approach to monitoring the effectiveness of people's care, support and treatment; the service takes action to continuously improve it, evidenced by a clinical audit programme with documented improvements."
Effective,Evidence-based care and equitable outcomes,EFF-EB-04,"Staff monitor and evaluate outcomes related to people's health and quality of life over time, using outcome data to act and improve care where possible."
Effective,Evidence-based care and equitable outcomes,EFF-EB-05,The service empowers people to understand their legal rights to equity of care; staff recognise barriers that prevent equity and resources are allocated to reduce these barriers and improve outcomes.
Effective,Supporting people to live healthier lives,EFF-HL-01,The service works with residents and professionals to plan and enable access to health and social care support; residents are supported to access health checks and healthcare passports are completed where appropriate.
Effective,Supporting people to live healthier lives,EFF-HL-02,"Risks to residents' health and wellbeing are identified and support to prevent deterioration is prioritised, including progressing advice from other professionals to prevent avoidable hospital admissions."
Effective,Supporting people to live healthier lives,EFF-HL-03,"Residents are encouraged and supported to make healthier choices relating to diet, lifestyle and physical activity, including through activity and rehabilitation opportunities where clinically appropriate."
Effective,Supporting people to live healthier lives,EFF-HL-04,The service progresses advice and recommendations from other professionals or commissioners to prevent deterioration in health and wellbeing and avoidable hospital admissions.
Caring,"Independence, choice and control",CAR-IC-01,"Residents are encouraged and enabled to access meaningful activities, hobbies and interests in a personalised way, with genuine choices offered and adaptations made for clinical or mobility needs."
Caring,"Independence, choice and control",CAR-IC-02,"People are supported to maintain access to family, friends and cultural connections; when applicable, visiting restrictions are limited to exceptional circumstances in accordance with guidance and legislation."
Caring,"Independence, choice and control",CAR-IC-03,People are supported to make decisions about end of life preferences and advance decisions if they wish to; DNACPR and ReSPECT decisions are clearly recorded and accessible to clinical staff.
Caring,"Independence, choice and control",CAR-IC-04,People approaching the end of their life are identified and their needs are met in line with their preferences and choices; there is a compassionate and supportive approach before and after a person dies.
Caring,"Independence, choice and control",CAR-IC-05,"People are supported to plan for the future and make advance decisions if they wish to; where people do not wish to discuss end of life, steps are taken to establish what to do in an emergency."
Caring,"Independence, choice and control",CAR-IC-06,"People's right to a personal life is appropriately considered and respected, including supporting them to have close and intimate relationships where they choose."
Caring,"Independence, choice and control",CAR-IC-07,Equipment and technology are used to support and maximise people's independence; people are helped to make choices about adaptive equipment appropriate to their needs.
Caring,"Kindness, compassion and dignity",CAR-KD-01,"People feel cared for with kindness, compassion, dignity and respect; privacy and dignity are consistently upheld during all clinical procedures and personal care, and any shortfalls are challenged."
Caring,"Kindness, compassion and dignity",CAR-KD-02,People's privacy and confidentiality are consistently upheld; staff have a clear understanding of the boundaries of confidentiality and work within these.
Caring,"Kindness, compassion and dignity",CAR-KD-03,"Staff promptly respond to people's emotions, discomfort, distress and urgent needs in a positive way that protects their rights and dignity; staff learn the causes of distress to prevent recurrence."
Caring,"Kindness, compassion and dignity",CAR-KD-04,"Staff prioritise and anticipate people's comfort and wellbeing needs, using appropriate tools and communication to avoid preventable discomfort, concern or distress."
Caring,Person-centred care,CAR-PC-01,Care is tailored to the individual and is not task-focused; nursing care plans are person-centred and regularly updated with the involvement of residents and those close to them.
Caring,Person-centred care,CAR-PC-02,"Staff treat people as individuals, ensuring their personal, cultural, social, spiritual and religious needs are understood and met, with due regard for protected equality characteristics."
Caring,Person-centred care,CAR-PC-03,"People receive the most appropriate and personalised care as the service makes reasonable adjustments where necessary, including for communication, accessibility and cultural preferences."
Responsive,"Care provision, integration and continuity",RES-CC-01,"Where support is provided by more than one service, staff work in a planned, coordinated and flexible way to make sure care is joined up and meets residents' needs."
Responsive,"Care provision, integration and continuity",RES-CC-02,"People experience continuity of care, support and treatment; a key worker or named nurse system ensures residents have a consistent point of contact throughout their stay."
Responsive,"Care provision, integration and continuity",RES-CC-03,Internal transitions in care level are planned collaboratively with residents and those close to them; people experience continuity of care and a smooth process throughout.
Responsive,Equity in experiences,RES-EE-01,"Leaders and staff work collaboratively to achieve equity by recognising barriers, collecting and acting on evidence including people's experiences, and allocating resources to reduce barriers."
Responsive,Equity in experiences,RES-EE-02,Interpreting and translation are provided or accessed for people who don't speak English as a first language and for people who use British Sign Language.
Responsive,Equity in experiences,RES-EE-03,"Staff are supported to develop the skills they need to remove barriers to effective communication; where applicable, the requirements of the Accessible Information Standard are met."
Responsive,Listening to and responding to feedback,RES-LF-01,"People and those close to them understand how to give feedback, make suggestions or complain about care and treatment; they can do so in a way that meets their needs, including with access to independent advocacy."
Responsive,Listening to and responding to feedback,RES-LF-02,"The service welcomes feedback, concerns and complaints as an opportunity to improve; learning from feedback is incorporated into practice and people feel confident their concerns will be taken seriously."
Responsive,Listening to and responding to feedback,RES-LF-03,The service actively seeks feedback and keeps people informed about how it has been addressed and any action taken; people are given information on how to escalate complaints to the relevant Ombudsman.
Responsive,Listening to and responding to feedback,RES-LF-04,"At the end of the complaints process, people are given information on how to escalate their complaint to the relevant Ombudsman."
Responsive,Listening to and responding to feedback,RES-LF-05,"The service supports people to give their feedback or make a complaint, including supporting access to independent advocacy."
Responsive,Timely and equitable access,RES-TA-01,The service is designed to be accessible and available at the point of need; barriers that prevent equitable access to the admission process are identified and removed.
Responsive,Timely and equitable access,RES-TA-02,Reasonable adjustments are understood and made to ensure equal access to the service for all; premises are accessible and adapted to meet the needs of people who find it hard to access services.
Responsive,Timely and equitable access,RES-TA-03,People's individual communication and information needs are appropriately identified and up-to-date information is routinely provided in an accessible way.
Well-Led,Capable and compassionate leaders,WEL-CL-01,"Where required, there is a registered manager in post who understands their responsibilities and is supported by directors and other managers to deliver good, effective, high-quality care."
Well-Led,Capable and compassionate leaders,WEL-CL-02,High-quality leadership is sustained through safe and effective recruitment; Fit and Proper Person Requirement checks are completed for the registered manager and all directors.
Well-Led,Capable and compassionate leaders,WEL-CL-03,Leaders are knowledgeable about priorities that affect quality and have access to appropriate development in their role; they seek support or independent scrutiny where required.
Well-Led,Capable and compassionate leaders,WEL-CL-04,"When something goes wrong, people receive a sincere and timely apology and are told about the actions being taken to prevent the same thing happening again."
Well-Led,Governance and management,WEL-GM-01,"The service has an accurate statement of purpose that clearly reflects current service provision, including the nursing care it provides."
Well-Led,Governance and management,WEL-GM-02,"There are effective systems for monitoring and managing service performance, risk and learning from incidents, including a quality assurance audit programme across all key care areas."
Well-Led,Governance and management,WEL-GM-03,"There are secure and reliable arrangements for the availability, integrity and confidentiality of data and records; the Data Security and Protection Toolkit is submitted and cyber security arrangements are reviewed."
Well-Led,Governance and management,WEL-GM-04,"There are thorough business continuity plans in place for emergencies, and staff know how to put these into practice, including continuity of medicines supply and nurse staffing."
Well-Led,Governance and management,WEL-GM-05,Data and notifications are consistently submitted to external partners as required; regulatory requirements are understood and consistently met.
Well-Led,Governance and management,WEL-GM-06,"There are effective workforce planning arrangements to ensure appropriate staffing levels, skill mix and succession; risks to staffing capacity are identified and managed."
Well-Led,Governance and management,WEL-GM-07,"Records and data management systems meet data protection and GDPR requirements; records are complete, accurate, stored securely and staff understand their data protection responsibilities."
Well-Led,"Improvement, innovation and learning",WEL-IL-01,"Staff and leaders drive improvement through consistent approaches that enable the right environment for improvement, measuring outcomes and impact; quality improvement projects demonstrate measurable results."
Well-Led,"Improvement, innovation and learning",WEL-IL-02,Staff are consistently encouraged to contribute to improvement and innovation initiatives; leaders foster a culture of trust by actively investing time to listen to ideas for improvement.
Well-Led,"Improvement, innovation and learning",WEL-IL-03,"Staff and leaders engage with external work, including research, and embed evidence-based good practice in the service."
Well-Led,"Improvement, innovation and learning",WEL-IL-04,Leaders encourage collective problem-solving and innovation; staff at all levels are involved in identifying and addressing problems to achieve consistency in the quality of care.
Well-Led,Partnerships and communities,WEL-PC-01,The service maintains positive relationships with the local community and works well with community partners.
Well-Led,Partnerships and communities,WEL-PC-02,"Staff and leaders work in partnership with other organisations, including local health services, so that care works as seamlessly as possible for people."
Well-Led,Partnerships and communities,WEL-PC-03,"Staff and leaders engage with people, communities and partners to share learning with each other, which results in continuous improvements to the service."
Well-Led,Partnerships and communities,WEL-PC-04,"People who use the service are meaningfully involved in how it is designed, delivered and evaluated, including through co-production with residents and families."
Well-Led,Strategic direction,WEL-SD-01,"The values of the service are clear, understood and supported by staff, demonstrated through the behaviour of leaders and in day-to-day practices within the service."
Well-Led,Strategic direction,WEL-SD-02,"Leaders learn from staff who work directly with people; feedback is valued and used to track progress, shape priorities and drive improvements."
Well-Led,Strategic direction,WEL-SD-03,The strategy supports the stability and operational sustainability of the service; succession planning ensures high-quality leadership is sustained.
Well-Led,Strategic direction,WEL-SD-04,"The vision, values and strategy have been developed through structured planning and co-production with people who use the service, staff and partners."
Well-Led,Workforce equity and culture,WEL-WE-01,"The service is committed to workforce equality and proactively works to promote equality, diversity and inclusion, applied to recruitment, development and progression."
Well-Led,Workforce equity and culture,WEL-WE-02,Staff are actively encouraged to raise concerns through formal speaking up processes and are confident they will be treated with compassion and will not be blamed or treated negatively for doing so.
Well-Led,Workforce equity and culture,WEL-WE-03,"Staff wellbeing is promoted through personalised support, including reasonable adjustments, flexible working and ensuring adequate rest; there is support when staff are struggling at work."
Well-Led,Workforce equity and culture,WEL-WE-04,"The service identifies workforce inequalities against equality, diversity and inclusion objectives; interventions to address these are monitored to evaluate their impact."
Well-Led,Workforce equity and culture,WEL-WE-05,"The service supports staff who face discrimination and takes action against those who discriminate, supported by clear policies and processes."
